id,Title,Content
1867,"Act of Abolishing Diversity of Opinion","Act passed in 1539 by Parliament under Henry VIII's direction to enforce unity under various Catholic dogmas opposed by Protestants such as: 1) transubstantiation, 2) only bread used in communion, 3) celibacy of the bishops, 4) validity of the vows of chastity 5) efficacy of masses in benefit souls in purgatory, and 5) confession."
1933,"16th CENTURY",
1953,"10th CENTURY",
1955,"9th CENTURY",
1956,"8th CENTURY",
1957,"7th CENTURY",
1958,"6th CENTURY",
1959,"5th CENTURY",
1960,"4th CENTURY",
1961,"3rd CENTURY",
1962,"2nd CENTURY",
1963,"1st CENTURY",
1964,"11th CENTURY",
1965,"12th CENTURY",
1966,"13th CENTURY",
1972,"14th CENTURY",
1974,"15th CENTURY",
1975,"17th CENTURY",
1976,"18th CENTURY",
1977,"19th CENTURY",
1978,"20th CENTURY",
1979,"21st CENTURY",
1984,"Horses Domesticated","c. 3,500 B.C.

Horses are domesticated in the Eurasian Steppes, most likely occurring in what is modern day Kazakhstan."
1985,"Writing Developed","c. 3,500 B.C.

Writing, a medium of human communication representing languages and emotions through signs and symbols, develops independently in 4 different areas – Mesopotamia (c. 3,500 B.C.), Egypt (c. 3,100 B.C.), the Indus Valley (c. 2,600 B.C.), and the Yellow River (c. 1,700 B.C.).
"
1986,"The Bronze Age","c. 3,300 B.C.

The Bronze Age begins in Mesopotamia, Egypt, and the Indus Valley.  The Bronze Age begins in Europe 100 years later (c. 3,200 B.C.), and in China 1,300 years later (c. 2,000 B.C.).
"
1987,"Indus Valley Civilization","c. 3,300–1,300 B.C.

The Indus Valley Civilization emerges, extending across the northeast of modern day Afghanistan, Pakistan, and northwest India.
"
1988,Phoenicia,"c. 2,500 B.C.

Phoenicia, a maritime empire, established along the coasts of modern day Lebanon, Syria, and northern Israel, with its main center of power located in Byblos.
"
1989,"Akkadian Empire","c. 2,334–2,154 B.C.

The Akkadian Empire, centered in the city of Akkad unifies and governs much of the Mesopotamian region."
1990,"Old Kingdom of Egypt Ends","c. 2,686–2,181 B.C.

The Old Kingdom of Egypt collapses after a series of droughts exacerbates the problems of a period in which its economic strength was slowly eroded through increasing centralization of control and access to economic resources."
1991,"Akkadian Empire Ends","c. 2,334–2,154 B.C.

The Akkadian Empire collapses due to its agricultural bases being undermined by droughts and invading forces from the north as well as political instability in maintaining the unity of several independently powerful city-states which had been subjugated by the Akkadians."
1992,"Middle Kingdom of Egypt","c. 2,134–1,690 B.C.

The Pharaohs of Egypt reestablish stability and prosperity, giving rise to the Middle Kingdom of Egypt."
1994,"Old Assyrian Empire","The city-state of Assur in the northern region of Mesopotamia begins to expand its territory and establishes the Old Assyrian Empire which had a turbulent history of conquest and even brief periods of being conquered by others."
1995,"Chariot Developed","The spoke-wheeled, horse chariot is developed by Indo-Europeans in the Eurasian Steppes, spreading to Mesopotamia, Egypt, the Indus Valley, and the Yellow River by c. 1,500 B.C..
"
1996,"Babylonian Empire","c. 1,792–1,750 B.C.

Hammurabi begins his reign in Babylon, during which time, Babylon goes from being a minor city-state in southern Mesopotamia to conquering all the cities and city-states of southern Mesopotamia, conquering Elam, and even exacting tributes from the king of the Old Assyrian Empire to Babylon’s north. The Babylonian Empire, briefly established under Hammurabi, collapses after his death."
1998,"Middle Kingdom of Egypt Ends","c. 2,134–1,690 B.C.

The Middle Kingdom of Egypt comes to an end after a period of decline caused by the economic stresses of an influx of a variety of Semitic speaking laborers from Canaan combined with severe flooding of the Nile."
1999,"Hyksos in Egypt","c. 1,650 B.C.

The Hyksos, another diverse group of Semitic speaking people likely from Canaan, establish control over the Nile Delta and exact tributes from the Egyptian Pharaohs to the south.  The Hyksos introduced several important technical innovations to Egypt, including the composite bow and the spoke-wheeled horse chariot."
2000,"Hittite Empire","c. 1,600–1,178 B.C.

Indo-Europeans establish the Hittite civilization centered in Hattusa in modern day Turkey, finding great success in the military use of horse chariots and giving rise to the Hittite Empire, which would eventually encompass almost all of modern day Turkey, and portions of the northern Levant and of Upper Mesopotamia.
"
2001,"Mycenean Greek Civilization","c. 1,600–1,150 B.C.

Mycenean Greek Civilization was the first advanced civilization in Greece, with several centers of power.  Mycenaean Greece was ruled by a warrior elite and traded extensively over vast areas of the Mediterranean.  Mycenaean Greece is the historical setting for much of ancient Greek literature and mythology, including the Trojan War."
2002,"Shang Dynasty (China)","c. 1,600 B.C.

The semi-mythical Xia Dynasty ends, and the Shang Dynasty arises to rule over the Yellow River Valley.

"
2003,"New Kingdom of Egypt","c. 1,550–1,069 B.C.

The New Kingdom of Egypt begins as the Pharaohs of Egypt regain independence and displace the Hyksos.  The technical innovations brought by the Hyksos provide the basis for unprecedented economic and military strength in Egypt, leading to tremendous expansion of political control and diplomatic influence.

"
2004,"Vedic Period of India","c. 1,500 B.C.

The Vedic Period in India begins, an approximately 1000 year period in which the language, culture, and religion of Indo-European migrants into the Indian subcontinent take root and spread."
2005,"Old Assyrian Empire Ends","c. 2,025–1,378 B.C.
"
2006,"Middle Assyrian Empire","c. 1,392–1,056 B.C.

The Middle Assyrian Empire begins, during which Assyria reasserts itself in northern Mesopotamia."
2007,"Indus Valley Civilization Ends","c. 3,300–1,300 B.C.

The Indus Valley Civilization largely disappears after a long period of gradual decline involving the abandonment of most major urbanized cities."
2008,"Battle of Kadesh","c. 1,274 B.C.

Ramesses II of the New Kingdom of Egypt battles Muwatalli II of the Hittite Empire to a draw in the Battle of Kadesh, the best documented battle of all ancient history and which is believed to be the largest chariot battle in history, involving a total of 5,000 to 6,000 chariots."
2009,"The Iron Age","c. 1,200 B.C.

The Iron Age begins in the Ancient Near East, the Aegean, and India.  The Iron Age would begin later in Italy and the Balkans (c. 1,100 B.C.), Eastern Europe (c. 900 B.C.), Central Europe and Great Britain (c. 800 B.C.), Northern Europe and China (c. 500 B.C.).
"
2010,"Bronze Age Collapse","c. 1,200 B.C.

The Bronze Age Collapse, an approximately 300 year period, was a violent, sudden, and culturally disruptive period in which many civilizations collapsed, a large number of cities were entirely destroyed and abandoned, trade was disrupted, and literacy plummeted.
"
2011,"Hittite Empire Ends","c. 1,600–1,178 B.C.

The Hittite Empire ends as part of the Bronze Age Collapse."
2012,"Mycenaean Greece Ends","c. 1,600–1,150 B.C.

Mycenaean Greece collapses as part of the Bronze Age Collapse, initiating a dark age period in Greece.
"
2013,"Phoenician Expansion","c. 1,150 B.C.

Phoenicia begins approximately 600 years of sea based expansion, establishing coastal colonies in the Mediterranean as far West as GA.D.ir (now Cadiz in modern day Spain)."
2014,"New Kingdom of Egypt Ends","c. 1,550–1,069 B.C.

The New Kingdom of Egypt ends as part of the Bronze Age Collapse, its wealth making it the target of too many enemies, Libyans to its west, the Sea Peoples to the North, the Assyrians to its north and east, and corruptions, robbery, and civil unrest from within."
2015,"Middle Assyrian Empire Ends","c. 1,392–1,056 B.C.

The Middle Assyrian Empire succumbs to the pressures of the Bronze Age Collapse as it begins a period of gradual decline, eventually contracting to control only the main city-state of Assur and its immediate environs."
2016,"Alphabet Developed","c. 1,050 B.C.

Phoenicians develop a 22 letter alphabet which spreads through their colonies and trade routes, which is eventually adopted and adapted by the Greeks."
2017,"Zhou Dynasty (China)","c. 1,046 B.C.

The Shang Dynasty ends after it is defeated in battle, and the Zhou Dynasty begins its rule in China.
"
2018,"Neo-Assyrian Empire","911–609 B.C.

The Neo-Assyrian Empire reasserts Assyrian dominance in northern Mesopotamia, and ultimately expanded further, conquering all of Mesopotamia, the Levant, and Egypt, as well as portions of Asia Minor."
2019,"Carthage Established","Phoenician colony of Kart-Hadasht (Carthage) is established in modern day Tunisia."
2020,"Greek Civilization Reemerges","c. 800 B.C.

Greek civilization reemerges from its dark ages as villages become more urbanized and develop into powerful city-states.  These city-states immediately begin an approximately 200 year period of establishing colonies throughout the Mediterranean, from the shores surrounding the Black Sea in the East to the south of Spain in the West."
2021,"Carthaginian Expansion","c. 650 B.C.

Carthage becomes independent from Phoenicia in the Eastern Mediterranean and asserts its power and control over other Phoenician colonies in the Western Mediterranean.  Carthage went on to establish colonies of its own and to become the main center of power in the Western Mediterranean for several centuries until defeated by Rome.
"
2022,"Neo-Babylonian Empire","626 B.C.

The Neo-Babylonian Empire arises, breaking away from the failing Neo-Assyria Empire and ultimately conquering Mesopotamia, the Levant, and extending into Asia Minor."
2023,"Median Kingdom","626 B.C.

The Median Kingdom arises, breaking away from the eastern reaches of the failing Neo-Assyrian Empire, and eventually stretching from the northeast of modern day Iran, skirting the northern border of the Neo-Babylonian Empire, and into Asia Minor.
"
2024,"Neo-Assyrian Empire Ends","911–609 B.C.

After a period of approximately 20 years of civil war and unrest in the failing Neo-Assyrian Empire, the final remnants of the Neo-Assyrian Empire are defeated in battle against the Babylonians and Medes."
2025,"Second Indian Urbanization","c. 600 B.C.

The Indian subcontinent experiences a new period of urbanization in which new cities arise and the culture and religion further develop from their Vedic origins."
2026,"Achaemenid Empire (Persia)","550 B.C.

The Achaemenid Empire (aka the First Persian Empire) begins as Cyrus the Great rebels against and destroys the Medes, eventually controlling a vast geographical area, from Macedonia, Asia Minor, Cyprus, Egypt and Libya in the west to the Hindu Kush and western Indus Basin in the east."
2027,"Roman Republic","509 B.C.

The Roman Republic is established after an aristocratic coup against the last Roman king."
2028,"Greco-Persian Wars","499 B.C.

The Greco-Persian Wars begin with the Ionian Revolt, initiating a 50 year period of conflict between the massive Achaemenid Empire and the fractious and fiercely independent Greek city-states."
2029,"Peloponnesian War","The Peloponnesian War, an approximately 25 year conflict between Sparta and Athens resulted in the defeat of Athens and a brief period in which Sparta dominated the Greek world."
2030,"Macedon Unifies Greece","338 B.C.

King Phillip II of Macedon unifies nearly all of the ancient Greek world through the Hellenic League, a federation of Greek states under Phillip II, and begins preparations to invade the Achaemenid Empire."
2031,"Alexander the Great","336 B.C.

After the assassination of King Phillip II of Macedon, his son Alexander III becomes king of Macedon and leA.D.er of the Hellenic League, leads the planned invasion of the Achaemenid Empire.  Alexander conquers Asia Minor, the Levant, Egypt, Mesopotamia, the Persian Plateau and even parts of India."
2032,"Alexander the Great Dies","323 B.C.

Alexander the Great dies unexpectedly of a fever in Babylonia before he can consolidate control over all the territory he conquered, thereby leading to a period of turmoil as his leading generals compete for power."
2033,"Muaryan Empire (India)","321 B.C.

Chandragupta Maurya establishes the Mauryan Empire which would ultimately expand to include almost the entire Indian subcontinent."
2034,"Seleucid Empire","312–63 B.C.

The Seleucid Empire, based in Babylonia, is founded by Seleucus, former general over Alexander’s elite cavalry forces.  Seleucus asserted control over Mesopotamia and all the lands conquered by Alexander to the east into the Indus Valley.  After Seleucus, his empire would also expand westward into Asia Minor and the Levant."
2035,"Antigonid Kingdom","306 B.C.

Antigonus, a former general to Alexander, establishes the Antigonid Kingdom in portions of Asia Minor and the Levant."
2036,"Kingdom of Thrace","306–281 B.C.

Lysimachus, a former bodyguard to Alexander, establishes a kingdom in Thrace, eventually expanding to control Macedonia and portions of Asia Minor."
2037,"Ptolemaic Kingdom (Egypt)","305 B.C.

Ptolemy, a former general to Alexander, establishes the Ptolemaic Kingdom based in Egypt and controlling Libya, portions of the Levant, and Cyprus."
2038,"Roman Domination of Italy","275 B.C.

Rome establishes itself as the unrivaled power in Italy after a period of expansion and defeating an invasion by Pyrrhus (ambitious cousin of Alexander the Great), a conflict which gave rise to the phrase “Pyrrhic victory”.
"
2039,"Kingdom of Thrace Ends","306–281 B.C.

The Kingdom of Lysimachus falls after he dies in battle against the Seleucid Empire."
2040,"Qin Dynasty (China)","256 B.C.

The Zhou dynasty ends after a period of fragmentation and its capital is captured by a newer competing kingdom, the Qin."
2041,"Parthian Empire","247 B.C.

Parthia (a region in the northeast of modern day Iran) gains independence in a rebellion against the Seleucid Empire, eventually becoming the Parthian Empire, seizing control of Mesopotamia and Media, and competing with Rome for control in the southern Caucasus and the Levant."
2042,"Qin Empire (China)","221 B.C.

The Qin dynasty establishes the first Chinese Empire after defeating the Zhou Dynasty and unifying China."
2043,"Han Empire (China)","206 B.C.– A.D. 220

The Qin Empire ends with turmoil and instability after the death of its first Emperor.  After a brief but intense conflict, the Han dynasty establishes itself as the new head of Imperial China, and overseeing a Chinese golden age."
2044,"Roman Domination of Mediterranean","201 B.C.

Rome defeats Carthage in the Second Punic War, an approximately 15 year conflict, in which Carthage sought revenge for the losses sustained in the First Punic War.  Rome is established as the unrivaled power in the Western Mediterranean."
2045,"Mauryan Empire Ends","185 B.C.

The Mauryan Empire falls after a period of weak rulers and the assassination of its final ruler, Brihadratha.
"
2046,"Rome Conquers Greece","146 B.C.

Rome fully conquers Greece after approximately 50 years of being drawn into military engagements there."
2047,"The Silk Road","c. 130 B.C.

The Silk Road is established as the Han Dynasty in China as they extend their overland trade routes further west and connect directly to trade routes used by the Roman Empire."
2048,"Seleucid Empire Ends","312–63 B.C.

After a period of decline for approximately 100 years caused by military defeats to the Romans in the west and the Parthians to the east, the remnants of the Seleucid Empire collapse."
2049,"Rome Conquers Gaul","50 B.C.

Julius Caesar conquers Gaul (modern day France and Belgium), setting the stage for his rise to power in Rome."
2050,"Ptolemaic Kingdom Ends","30 B.C.

The Ptolemaic Kingdom falls to Rome, its former ally of approximately 150 years, despite Cleopatra VII’s dramatic bid to maintain independence during a period of political instability in the Roman world.
"
2051,"Roman Empire","27 B.C.

After a period of unrest and competing generals jockeying for power, Octavian, the adopted son of Julius Caesar, becomes the first official Emperor of Rome, being known as Augustus.  Octavian’s rule initiated an approximately 200 year period of relative peace known as the Pax Romana.
"
2052,"Maritime Silk Route","c. A.D. 50

Maritime trade routes connect China, India, and the Roman Empire, establishing a maritime Silk Route."
2053,"Han Empire Ends","206 B.C.– A.D. 220

The Han Dynasty in China ends after a period of internal instability leads to open conflict between competing factions and the relinquishment of the throne by Emperor Xian.  China is ruled over by three competing kingdoms, the Wei, Shu, and Wu.
"
2054,"Parthian Empire Ends","A.D. 224

The Parthian Empire falls after prolonged military pressure from Rome to the west and internal strife, ultimately succumbing to a rebellion."
2055,"Sassanid Empire","A.D. 224–651

The rebellion which overthrew the Parthian Empire establishes the Sassanid Empire which quickly expands to fill the territorial space of the Parthian Empire and to compete in turn with the Roman Empire to the west."
2056,"Jin Empire (China)","A.D. 265–420

The Jin Dynasty arises within the kingdom of Wei and proceeds to unite China and Vietnam under its rule, reestablishing an Imperial China."
2057,"Division of Roman Empire","A.D. 286

The Roman Empire is divided into two administrative bodies each overseen by its own emperor, the west being governed by an emperor in Mediolanum (modern day Milan), the east being governed by an emperor in Byzantium."
2058,"Gupta Empire (India)","A.D. 320–550

The Gupta Empire emerges, eventually covering much of the Indian subcontinent and ushering in a golden age in India.
"
2059,"Rome Sacked","A.D. 410

The Visigoths sack Rome, no longer the capital of the Roman Empire, but still its cultural and spiritual center."
2060,"Jin Empire Ends","A.D. 265–420

The Jin Dynasty ends as Emperor Gong abdicates his throne after Jin territory is fractured by internal strife and rebellion."
2062,"Western Roman Empire Ends","A.D. 480

The Western Roman Empire officially ends after the Germanic king, Odoacer, conquered the Italian peninsula and established his own Kingdom of Italy."
2063,"Gupta Empire Ends","A.D. 320–550

The Gupta Empire collapses after being weakened by its costly but ultimately successful efforts at pushing back invading Huns.

"
2065,"Sui Empire (China)","A.D. 581

The Sui Dynasty rises and reunites China under its imperial rule."
2066,"Tang Empire (China)","A.D. 618–907

The Sui Dynasty collapses after overextending itself through ambitious military campaigns and infrastructure projects.  After a brief civil war, the Tang Dynasty assumes control of Imperial China and would lead it into a golden age."
2067,"Rashidun Caliphate","A.D. 632

The Rashidun Caliphate begins upon the death of Muhammad, who united the Arabian tribes under Islam.  The Rashidun Caliphate eventually conquers Libya, Egypt, Cyprus, the Levant, Mesopotamia, and the Persian Plateau.

"
2068,"Sassanid Empire Ends","A.D. 224–651

After losing a catastrophic war with the Eastern Roman Empire (later denominated the Byzantine Empire), the Sassanid Empire is conquered by invading Arab armies."
2069,"Umayyad Caliphate","A.D. 651

The Umayyad Caliphate begins, extending its territory to include the whole of North Africa, the Iberian Peninsula, and the Indus Valley region."
2070,"Charles Martel","A.D. 737

Charles Martel becomes the acting king of the Franks after having halted the Islamic advance in Western Europe, extended the territory of Francia, and played an important role in creating the European feudal system, thereby becoming a founding figure of the European Middle Ages."
2071,"Abbasid Caliphate","A.D. 750

The Abbasid Caliphate begins, which loses control of territory in Iberia and the western portion of North Africa but extends control into Sicily and Crete.  The Abbasid Caliphate also founded the city of Baghdad as its capital and ushered in several hundred year long golden age."
2072,Charlemagne,"A.D. 768

Charlemagne, the grandson of Charles Martel, becomes King of the Franks and would go on to expand Frankish territory and usher in the Carolingian Renaissance."
2073,"The Viking Age","A.D. 793

Viking Age begins during which the Norse people from Scandinavia explore, trade, settle, and conquer territories throughout Europe, ultimately exerting an extremely disruptive influence throughout the region."
2074,"Charlemagne Crowned Emperor","A.D. 800

 Charlemagne is crowned as Emperor of the Romans by Pope Leo III."
2075,"Kievan Rus","A.D. 882–1240

The Kievan Rus civilization emerges in Eastern Europe, likely founded by a Scandinavian ruling elite, and occasionally ruled over by Vikings.  The Kievan Rus became the cultural foundation for modern day Ukraine, Belarus, and Russia."
2076,"Tang Empire Ends","A.D. 618–907

The Tang Dynasty in China falls to a rebellion after a long struggle against the tendency of regional generals to assume ever greater amounts of autonomy.  China is fractured and governed by numerous kingdoms.
"
2077,"Holy Roman Empire","A.D. 962

The Holy Roman Empire emerges in the Germanic areas and Northern Italy with Otto I assuming the imperial crown descended from Charlemagne."
2081,"Gunpowder Developed","c. A.D. 1000

The Chinese discover gunpowder."
2082,"Seljuk Turk Empire","A.D. 1037

The Seljuk Turks establish an empire which displaces the political power of the Abbasid Caliphate, leaving the Abbasid dynasty with largely ceremonial and religious influence.
"
2083,"Movable Type Developed","A.D. 1040

The Chinese invent movable type.
"
2084,"Viking Age Ends","A.D. 1066

The Viking Age draws to a close as the last major military offensive by the Norse is defeated by the Anglo-Saxon king Harold Godwinson.
"
2085,"Normans Conquer England","A.D. 1066

William I, the Duke of Normandy in France and direct descendant from Viking leaders who settled in the area 100 years earlier, crosses the English Channel, defeats the Anglo-Saxon king Harold Godwinson in the Battle of Hastings, and conquers England."
2086,"First Crusade","A.D. 1095

Pope Urban II calls the First Crusade in response the Byzantine (Eastern Roman) Emperor’s plea for help against the Seljuk Turks.  The Crusaders captured Jerusalem and created several minor Crusader States in the Levant."
2087,"Second Crusade","A.D. 1145

French and German armies respond to the call by various preachers for a crusade because of some Muslim military success in the Middle East.  The Second Crusade ends without achieving any significant success."
2089,"Third Crusade","A.D. 1189

Pope Gregory VIII calls for a Third Crusade in response to Saladin’s conquest of Jerusalem.  The Third Crusade was led by several of Europe’s most important leaders, and although they failed to recapture Jerusalem, a truce was reached which permitted Christian pilgrims to access Jerusalem."
2090,"Seljuk Turn Empire Ends","A.D. 1194

The Seljuk Turk Empire collapses due to internal conflict and the external pressures from the Crusades."
2091,"Fourth Crusade","A.D. 1201

Pope Innocent III calls for the Fourth Crusade, which was hijacked by the Venetians seeking to place a puppet king on the throne of the Byzantine (Eastern Roman) Empire.  This Crusade ended with the Crusaders never leaving Christian territory and instead. sacking Byzantium."
2092,"Genghis Khan","A.D. 1206

Genghis Khan unites the Mongolian tribes and creates the Mongolian Empire, conquering the northern Chinese kingdoms of Xia and Jin, and Western Liao in Central Asia, Khwarazmia in the Persian Plateau."
2093,"Magna Carta","A.D. 1215

King John of England signs the Magna Carta to make peace with a group of Rebel Barons.  The Magna Carta would become a foundational document to secure individual liberties and English law."
2094,"Fifth Crusade","A.D. 1217

The Fifth Crusade begins, involving mostly Hungarian and Austrian forces who invaded Egypt and achieved little."
2095,"Sixth Crusade","A.D. 1228

Emperor Frederick II of the Holy Roman Empire, after being excommunicated for not supporting previous crusader campaigns, achieves unexpected success in his self-initiated Sixth Crusade negotiating without any major military conflict the transfer of Jerusalem, Nazareth, and Bethlehem to the Crusaders for a period of 10 years."
2096,"Kievan Rus End","A.D. 882–1240

The Kievan Rus fall to invading Mongolian armies.
"
2097,"Gunpowder Introduced to Europe","A.D. 1241

The Mongols likely introduce Europeans to gunpowder-based weaponry in the Battle of Mohi against the Kingdom of Hungary.
"
2098,"Seventh Crusade","A.D. 1248

King Louis the IX of France organizes a Seventh Crusade against Egypt, is defeated in battle, captured, and ransomed.
"
2099,"Mongols Conquer Middle East","A.D. 1258

The Islamic Golden Age ends as Mongolian armies destroy Baghdad and conquer Mesopotamia, the northern portion of the Levant and portions of Asia Minor."
2100,"Mongolian Empire Fragments","c. A.D. 1260

The Mongolian Empire begins to fragment leaving behind the Golden Horde in the northwestern portions of Central Asia and Eastern Europe, the Chagatai Khanate in Central Asia, the Ilkhanate in Asia Minor, the Levant, Mesopotamia, and the Persian Plateau, and the Yuan Dynasty in China."
2101,"Eighth Crusade","A.D. 1270

King Louis the IX of France organizes an Eighth Crusade which gets diverted to Tunisia, where his army is decimated by disease and King Louis IX dies."
2102,"Ninth Crusade","A.D. 1271

Prince Edward of England (future King Edward I) leads the Ninth Crusade into Syria where little is achieved, but a 10 year truce is reached."
2103,"Yuan Empire (China)","A.D. 1271

Kublai Khan, grandson of Genghis Kahn, formally establishes the Yuan dynasty and empire in China."
2104,"Ottoman Empire","A.D. 1299

Osman I unifies disparate and fractured kingdoms in Asia Minor and establishes the Ottoman Empire."
2105,"Hundred Years’ War","A.D. 1337

The Hundred Years’ War between the Plantagenet rulers of England and the Valois rulers of France regarding their respective claims to the French throne.  It would end in 1453 with English defeat and France maintaining its independence."
2106,"The Black Plague","A.D. 1347

The Black Plague reaches Europe from the Silk Road killing anywhere from 30% to 60% of Europe’s population over the course of 5 years, and outbreaks would periodically recur over the next 400 years."
2107,"European Renaissance","c. A.D. 1350

The Renaissance begins in Italy after the highly disruptive Black Plague, renewing interest in the arts, culture, humanism, and classical (pre-Christian) antiquity."
2108,"Ming Empire","A.D. 1368

The Yuan dynasty falls to rebellion and the Ming dynasty assumes control of Imperial China, restoring native Han rule in place of Mongolian domination.
"
2109,"Gutenberg Printing Press","A.D. 1439

Gutenberg introduces movable type to Europe, accelerating the cultural and social revolutions of the Renaissance."
2110,"Eastern Roman Empire Ends","A.D. 1453

Ottoman forces capture Byzantium, and the Byzantine (Eastern Roman) Empire finally ends."
2111,"Russia Emerges","A.D. 1462

Ivan III (also known as Ivan the Great) assumes power in Moscow.  During his approximately 40 year rule, he dramatically expanded the territory subject to his rule, uniting the Rus lands, defeating the Golden Horde thereby ending their dominance over the Rus, and laying the foundation of the Russian state."
2112,"Spanish Inquisition","A.D. 1478

Ferdinand and Isabella begin the Spanish Inquisition to establish and maintain Catholic orthodoxy in the Iberian Peninsula.
"
2113,"Christopher Columbus","A.D. 1492

After Ferdinand and Isabella complete the Christian reconquest of Iberia, Christopher Columbus begins his maritime voyage from Spain to reach Asia by sailing west, accidentally discovering the American continents."
2114,"Vasco da Gama","A.D. 1497

Vasco da Gama begins his maritime voyage from Portugal to reach India and open up a direct trade route from Portugal and India."
2115,"Ottoman Caliphate","A.D. 1517

The Ottoman Caliphate becomes the de facto leader of the Muslim world operating within the Ottoman Empire.
"
2116,"Protestant Reformation","A.D. 1517

The Protestant Reformation begins as Martin Luther posts his 95 Theses, largely in response to the widespread abuses caused by the aggressive commercialization of indulgences."
2117,Magellan,"A.D. 1519

Magellan begins his maritime voyage from Spain with 5 ships and 270 men to circumnavigate the globe.  Magellan and many others die during the three year expedition, but 19 men and one ship succeed in sailing around the world and returning to Spain."
2118,"Mughal Empire (India)","A.D. 1526

The Mughal Empire emerges, eventually ruling over almost all of the Indian subcontinent, during which many famous structures were built, including the Taj Mahal, the Moti Masjid, the Red Fort, the Jama Masjid, and the Lahar Fort."
2132,"Ottoman Siege of Vienna","The Ottoman Empire besieges Vienna, but they fail to conquer the city and their advance into Europe is checked."
2133,"Qing Empire (China)","The Ming Dynasty ends as rebels capture the capital city and the Emperor hangs himself.  The Qing dynasty assumes control of Imperial China.
"
2134,"Peace of Westphalia","The Peace of Westphalia ends the religious wars spawned by the Protestant Reformation.  It set out the principles of the modern international order where peace is assured through the recognition of independent sovereign states, non-interference in domestic affairs, and a balance of power between those states.
"
2135,"Kingdom of Great Britain","The Treaty of Union unites England, Wales and Scotland into a single kingdom, the Kingdom of Great Britain.
"
2731,"Adrienne von Speyr","A.D. 1902–1967

Swiss physician and Roman Catholic theologian whose visionary experiences were a major inspiration for the theology of von Balthasar.
"
2733,"Andreas Osiander","A.D. 1498–1552

Lutheran pastor, professor, and theologian, in whose doctrine of justification believers are united to the essential righteousness of God. The forensic doctrine of justification, developed as both Reformed and Lutheran, rejected Osiander’s doctrine.
"
2734,"August Hermann Francke","A.D. 1663–1727

German Lutheran pastor and theology professor at the University of Halle, protégé of Philipp Jakob Spener, organizer and proponent of Pietism."
2735,"Basil of Caesarea","c. A.D. 330-379

Older brother of Gregory of Nyssa and leader of the Cappadocian Fathers, who advocated a reformulation of Nicene theology that prevailed at the Council of Constantinople 381."
