Categories,id,Title,Content,ctl_story_order
"All Categories|All World Events|Major Categories|Major World Events",2014,"Egypt, New Kingdom Ends",,-1069
"All Categories|All World Events|Major Categories|Major World Events",2015,"Middle Assyrian Empire Ends",,-1056
"All Categories|All World Events|Major Categories|Major World Events",2016,"Alphabet Developed","c. 1,050 B.C.

Phoenicians develop a 22 letter alphabet which spreads through their colonies and trade routes, which is eventually adopted and adapted by the Greeks.",-1050
"All Categories|All World Events|Major Categories|Major World Events",2017,"Zhou Dynasty (China)","c. 1,046 B.C.

The Shang Dynasty ends after it is defeated in battle, and the Zhou Dynasty begins its rule in China.
",-1046
"All Categories|All World Events|Major Categories|Major World Events",2018,"Neo-Assyrian Empire",,-911
"All Categories|All World Events|Major Categories|Major World Events",2019,"Carthage Established",,-814
"All Categories|All World Events|Major Categories|Major World Events",2020,"Greek Civilization Reemerges",,-800
"All Categories|All World Events|Major Categories|Major World Events",2021,"Carthaginian Expansion",,-650
"All Categories|All World Events|Major Categories|Major World Events",2022,"Neo-Babylonian Empire",,-626
"All Categories|All World Events|Major Categories|Major World Events",2023,"Median Kingdom",,-626
"All Categories|All World Events|Major Categories|Major World Events",2024,"Neo-Assyrian Empire Ends",,-609
"All Categories|All World Events|Major Categories|Major World Events",2025,"Second Indian Urbanization",,-600
"All Categories|All World Events|Major Categories|Major World Events",2026,"Achaemenid Empire (Persia)",,-550
"All Categories|All World Events|Major Categories|Major World Events",2027,"Roman Republic",,-509
"All Categories|All World Events|Major Categories|Major World Events",2028,"Greco-Persian Wars",,-499
"All Categories|All World Events|Major Categories|Major World Events",2029,"Peloponnesian War",,-431
"All Categories|All World Events|Major Categories|Major World Events",2030,"Macedon Unifies Greece",,-338
"All Categories|All World Events|Major Categories|Major World Events",2031,"Alexander the Great becomes King",,-336
"All Categories|All World Events|Major Categories|Major World Events",2032,"Alexander the Great Dies",,-323
"All Categories|All World Events|Major Categories|Major World Events",2033,"Muaryan Empire (India)",,-321
"All Categories|All World Events|Major Categories|Major World Events",2034,"Seleucid Empire","312–63 B.C.

The Seleucid Empire, based in Babylonia, is founded by Seleucus, former general over Alexander’s elite cavalry forces.  Seleucus asserted control over Mesopotamia and all the lands conquered by Alexander to the east into the Indus Valley.  After Seleucus, his empire would also expand westward into Asia Minor and the Levant.",-312
"All Categories|All World Events|Major Categories|Major World Events",2035,"Antigonid Kingdom",,-306
"All Categories|All World Events|Major Categories|Major World Events",2036,"Kingdom of Thrace",,-306
"All Categories|All World Events|Major Categories|Major World Events",2037,"Ptolemaic Kingdom (Egypt)",,-305
"All Categories|All World Events|Major Categories|Major World Events",2038,"Roman Domination of Italy",,-275
"All Categories|All World Events|Major Categories|Major World Events",2039,"Kingdom of Thrace Ends",,-281
"All Categories|All World Events|Major Categories|Major World Events",2040,"Qin Dynasty (China)",,-256
"All Categories|All World Events|Major Categories|Major World Events",2041,"Parthian Empire",,-247
"All Categories|All World Events|Major Categories|Major World Events",2042,"Qin Empire (China)",,-221
"All Categories|All World Events|Major Categories|Major World Events",2043,"Han Empire (China)",,-206
"All Categories|All World Events|Major Categories|Major World Events",2044,"Roman Domination of Mediterranean",,-201
"All Categories|All World Events|Major Categories|Major World Events",2045,"Mauryan Empire Ends",,-185
"Timeline Stories",2046,"Rome Conquers Greece","146 B.C.

Rome fully conquers Greece after approximately 50 years of being drawn into military engagements there.",-146
"All Categories|All World Events|Major Categories|Major World Events",2047,"The Silk Road","c. 130 B.C.

The Silk Road is established as the Han Dynasty in China as they extend their overland trade routes further west and connect directly to trade routes used by the Roman Empire.",-130
"All Categories|All World Events|Major Categories|Major World Events",2048,"Seleucid Empire Ends","312–63 B.C.

After a period of decline for approximately 100 years caused by military defeats to the Romans in the west and the Parthians to the east, the remnants of the Seleucid Empire collapse.",-63
"All Categories|All World Events|Major Categories|Major World Events",2049,"Rome Conquers Gaul","50 B.C.

Julius Caesar conquers Gaul (modern day France and Belgium), setting the stage for his rise to power in Rome.",-50
"All Categories|All World Events|Major Categories|Major World Events",2050,"Ptolemaic Kingdom Ends",,-30
"All Categories|All World Events|Major Categories|Major World Events",2051,"Roman Empire",,-27
"All Categories|All World Events|Major Categories|Major World Events",2052,"Maritime Silk Route",,50
"All Categories|All World Events|Major Categories|Major World Events",2053,"Han Empire Ends",,220
"All Categories|All World Events|Major Categories|Major World Events",2054,"Parthian Empire Ends",,224
"All Categories|All World Events|Major Categories|Major World Events",2055,"Sassanid Empire","A.D. 224–651

The rebellion which overthrew the Parthian Empire establishes the Sassanid Empire which quickly expands to fill the territorial space of the Parthian Empire and to compete in turn with the Roman Empire to the west.",224
"All Categories|All World Events|Major Categories|Major World Events",2056,"Jin Empire (China)",,265
"All Categories|All World Events|Major Categories|Major World Events",2057,"Division of Roman Empire",,286
"All Categories|All World Events|Major Categories|Major World Events",2058,"Gupta Empire (India)",,320
"All Categories|All World Events|Major Categories|Major World Events",2059,"Rome Sacked","A.D. 410

The Visigoths sack Rome, no longer the capital of the Roman Empire, but still its cultural and spiritual center.",410
"All Categories|All World Events|Major Categories|Major World Events",2060,"Jin Empire Ends",,420
"All Categories|All World Events|Major Categories|Major World Events",2062,"Western Roman Empire Ends","A.D. 480

The Western Roman Empire officially ends after the Germanic king, Odoacer, conquered the Italian peninsula and established his own Kingdom of Italy.",480
"All Categories|All World Events|Major Categories|Major World Events",2063,"Gupta Empire Ends",,550
"All Categories|All World Events|Major Categories|Major World Events",2065,"Sui Empire (China)","A.D. 581

The Sui Dynasty rises and reunites China under its imperial rule.",581
"All Categories|All World Events|Major Categories|Major World Events",2066,"Tang Empire (China)","A.D. 618–907

The Sui Dynasty collapses after overextending itself through ambitious military campaigns and infrastructure projects.  After a brief civil war, the Tang Dynasty assumes control of Imperial China and would lead it into a golden age.",681
"All Categories|All World Events|Major Categories|Major World Events",2067,"Rashidun Caliphate","

",632
"All Categories|All World Events|Major Categories|Major World Events",2068,"Sassanid Empire Ends","A.D. 224–651

After losing a catastrophic war with the Eastern Roman Empire (later denominated the Byzantine Empire), the Sassanid Empire is conquered by invading Arab armies.",651
"All Categories|All World Events|Major Categories|Major World Events",2069,"Umayyad Caliphate","A.D. 651

The Umayyad Caliphate begins, extending its territory to include the whole of North Africa, the Iberian Peninsula, and the Indus Valley region.",651
"All Categories|All World Events|Major Categories|Major World Events",2070,"Charles Martel becomes King",,737
"All Categories|All World Events|Major Categories|Major World Events",2071,"Abbasid Caliphate","<img src=""https://historyofchristiantheology.com/wp-content/uploads/2018/12/timeline-icon.png"" alt="""" width=""80"" height=""80"" class=""alignnone size-full wp-image-3450"" />

Qcjm: testing icon in desc",750
"All Categories|All World Events|Major Categories|Major World Events",2072,"Charlemagne becomes King",,768
"All Categories|All World Events|Major Categories|Major World Events",2073,"The Viking Age","A.D. 793

Viking Age begins during which the Norse people from Scandinavia explore, trade, settle, and conquer territories throughout Europe, ultimately exerting an extremely disruptive influence throughout the region.",793
"All Categories|All World Events|Major Categories|Major World Events",2074,"Charlemagne Crowned Emperor",,800
"All Categories|All World Events|Major Categories|Major World Events",2075,"Kievan Rus",,882
"All Categories|All World Events|Major Categories|Major World Events",2076,"Tang Empire Ends","A.D. 618–907

The Tang Dynasty in China falls to a rebellion after a long struggle against the tendency of regional generals to assume ever greater amounts of autonomy.  China is fractured and governed by numerous kingdoms.
",907
"All Categories|All World Events|Major Categories|Major World Events",2077,"Holy Roman Empire",,962
"All Categories|All World Events|Major Categories|Major World Events",2081,"Gunpowder Developed","c. A.D. 1000

The Chinese discover gunpowder.",1000
"All Categories|All World Events|Major Categories|Major World Events",2082,"Seljuk Turk Empire","A.D. 1037

The Seljuk Turks establish an empire which displaces the political power of the Abbasid Caliphate, leaving the Abbasid dynasty with largely ceremonial and religious influence.
",1037
"All Categories|All World Events|Major Categories|Major World Events",2083,"Movable Type Developed",,1040
"All Categories|All World Events|Major Categories|Major World Events",2084,"Viking Age Ends",,1066
"All Categories|All World Events|Major Categories|Major World Events",2085,"Normans Conquer England",,1066
"All Categories|All World Events|Major Categories|Major World Events",2086,"First Crusade",,1095
"All Categories|All World Events|Major Categories|Major World Events",2087,"Second Crusade",,1145
"All Categories|All World Events|Major Categories|Major World Events",2089,"Third Crusade",,1189
"All Categories|All World Events|Major Categories|Major World Events",2090,"Seljuk Turk Empire Ends",,1194
"All Categories|All World Events|Major Categories|Major World Events",2091,"Fourth Crusade",,1201
"All World Events|Major Categories|Major World Events",2092,"Genghis Khan",,1206
"All Categories|All World Events|Major Categories|Major World Events",2093,"Magna Carta",,1215
"All Categories|All World Events|Major Categories|Major World Events",2094,"Fifth Crusade",,1217
"All Categories|All World Events|Major Categories|Major World Events",2095,"Sixth Crusade",,1228
"All Categories|All World Events|Major Categories|Major World Events",2096,"Kievan Rus End",,1240
"All Categories|All World Events|Major Categories|Major World Events",2097,"Gunpowder Introduced to Europe",,1241
"All Categories|All World Events|Major Categories|Major World Events",2098,"Seventh Crusade",,1248
"All Categories|All World Events|Major Categories|Major World Events",2099,"Mongols Conquer Middle East",,1258
"All Categories|All World Events|Major Categories|Major World Events",2100,"Mongolian Empire Fragments",,1260
"All Categories|All World Events|Major Categories|Major World Events",2101,"Eighth Crusade",,1270
"All Categories|All World Events|Major Categories|Major World Events",2102,"Ninth Crusade",,1271
"All Categories|All World Events|Major Categories|Major World Events",2103,"Yuan Empire (China)","A.D. 1271

Kublai Khan, grandson of Genghis Kahn, formally establishes the Yuan dynasty and empire in China.",1271
"All Categories|All World Events|Major Categories|Major World Events",2104,"Ottoman Empire",,1299
"All Categories|All World Events|Major Categories|Major World Events",2105,"Hundred Years’ War",,1337
"All Categories|All World Events|Major Categories|Major World Events",2106,"The Black Plague","A.D. 1347

The Black Plague reaches Europe from the Silk Road killing anywhere from 30% to 60% of Europe’s population over the course of 5 years, and outbreaks would periodically recur over the next 400 years.",1347
"All Categories|All World Events|Major Categories|Major World Events",2107,"European Renaissance",,1350
"All Categories|All World Events|Major Categories|Major World Events",2108,"Ming Empire",,1368
"All Categories|All World Events|Major Categories|Major World Events",2109,"Gutenberg Printing Press",,1439
"All Categories|All World Events|Major Categories|Major World Events",2110,"Eastern Roman Empire Ends",,1453
"All Categories|All World Events|Major Categories|Major World Events",2111,"Russia Emerges","A.D. 1462

Ivan III (also known as Ivan the Great) assumes power in Moscow.  During his approximately 40 year rule, he dramatically expanded the territory subject to his rule, uniting the Rus lands, defeating the Golden Horde thereby ending their dominance over the Rus, and laying the foundation of the Russian state.",1462
"All Categories|All Religious Events|Major Categories|Major Religious Events",2112,"Spanish Inquisition",,1478
"All Categories|All World Events|Major Categories|Major World Events",2113,"Christopher Columbus",,1492
"All Categories|All World Events|Major Categories|Major World Events",2114,"Vasco da Gama","A.D. 1497

Vasco da Gama begins his maritime voyage from Portugal to reach India and open up a direct trade route from Portugal and India.",1497
"All Categories|All World Events|Major Categories|Major World Events",2115,"Ottoman Caliphate",,1517
"All Categories|All World Events|Major Categories|Major World Events",2116,"Protestant Reformation",,1517
"All Categories|All World Events|Major Categories|Major World Events",2117,Magellan,,1519
"All Categories|All World Events|Major Categories|Major World Events",2118,"Mughal Empire (India)",,1526
"All Categories|All World Events|Major Categories|Major World Events",2132,"Ottoman Siege of Vienna",,1529
"All Categories|All World Events|Major Categories|Major World Events",2133,"Qing Empire (China)",,1644
"All Categories|All World Events|Major Categories|Major World Events",2135,"Kingdom of Great Britain",,1706
"All Categories|All People",2731,"Adrienne von Speyr",,1902
"All Categories|All People",2733,"Andreas Osiander",,1498
"All Categories|All People",2734,"August Hermann Francke",,1663
"All Categories|All People|Major Categories|Major People",2735,"Basil of Caesarea","

",330
"All Categories|All People",2736,"Benedict XVI",,1927
"All Categories|All People|Major Categories|Major People",2737,"C. I. Scofield","A.D. 1843–1921

Minister, Bible teacher, Dispensationalist theologian, and editor of the <em>Scofield Reference Bible</em>, whose 2nd edition (1917) is the most influential book in the Dispensationalist movement.",1843
"All Categories|All People",2738,"Cornelius Jansen","
",1585
"All Categories|All People",2739,"Count Nikolaus Ludwig von Zinzendorf",,1700
"All Categories|All People|Major Categories|Major People",2740,"Cyril of Alexandria","
",378
"All Categories|All People|Major Categories|Major People",2741,"Dante Alighieri",,1265
"All Categories|All People|Major Categories|Major People",2742,Dionysius,,500
"All Categories|All People",2743,"Dwight L. Moody",,1837
"All Categories|All People",2744,"E. Y.  Mullins",,1860
"All Categories|All People",2745,"Emil Brunner",,1889
"All Categories|All People",2746,"Francis de Sales",,1567
"All Categories|All People",2747,"Francis Wayland",,1796
"All Categories|All People",2748,"Francois Fénelon",,1651
"All Categories|All People|Major Categories|Major People",2749,"Friedrich Schleiermacher",,1768
"All Categories|All People",2750,"George Lindbeck",,1923
"All Categories|All People|Major Ideas|Major People",2751,"Gregory of Naziansen",,330
"All Categories|All People",2753,"Gregory of Nyssa",,335
"All Categories|All People|Major Categories|Major People",2754,"Gregory Palamas","
",1296
"All Categories|All People",2755,"H. L. Mencken","
",1880
"All Categories|All People",2756,"Hans Urs von Balthasar",,1905
"All Categories|All People",2757,"Harry Emerson Fosdick",,1878
"All Categories|All People",2758,"Henri de Lubac",,1896
"All Categories|All People|Major Categories|Major People",2759,"Immanuel Kant",,1724
"All Categories|All People|Major Categories|Major People",2760,Irenaeus,,120
"All Categories|All People",2761,"J. Gresham Machen",,1881
"All Categories|All People",2762,"Jacobus Arminius",,1560
"All Categories|All People",2763,"Johann Arndt",,1555
"All Categories|All People|Major Categories|Major People",2764,"John Calvin",,1509
"All Categories|All People",2765,"John Nelson Darby",,1800
"All Categories|All People",2766,"John of the Cross",,1542
"All Categories|All People",2767,"John Owen",,1616
"All Categories|All People",2768,"John Paul II",,1920
"All Categories|All People|Major Categories|Major People",2769,"John Wesley",,1703
"All Categories|All People",2772,"John XXIII",,1881
"All Categories|All People|Major Categories|Major People",2773,"Jonathan  Edwards",,1703
"All Categories|All People|Major Categories|Major People",2774,"Justin Martyr",,100
"All Categories|All People|Major Categories|Major People",2775,"Karl Barth",,1886
"All Categories|All People",2776,"Karl Rahner",,1904
"All Categories|All People",2777,"Luis de Molina",,1535
"All Categories|All People",2778,"Madame Jeanne Guyon",,1648
"All Categories|All People|Major Categories|Major People",2779,Marcion,,100
"All Categories|All People",2780,"Martin Heidegger",,1889
"All Categories|All People|Major Categories|Major People",2781,"Martin Luther",,1483
"All Categories|All People",2782,"Maximus the Confessor",,580
"All Categories|All People",2783,"Meister Eckhart",,1260
"All Categories|All People|Major Categories|Major People",2784,"Menno Simons",,1496
"All Categories|All People",2785,"Michael Baius",,1513
"All Categories|All People",2786,"Michael Servetus",,1511
"All Categories|All People|Major Categories|Major People",2787,Montanus,,100
"All Categories|All People",2788,"Moses Amyraut","A.D. 1596–1664

Also known by a Latinized version of his name, Amyraldus, was a French Protestant (a Huguenot) who advocated a modified form of Calvinism which came to be known as Amyraldianism, hypothetical universalism, or four point Calvinism, because it accepted all the teachings of the Synod of Dordt except limited atonement.",1596
"All Categories|All People|Major Ideas|Major People",2789,Nestorius,,400
"All Categories|All People|Major Categories|Major People",2790,Origen,,185
"All Categories|All People|Major Categories|Major People",2791,Paul,,-4
"All Categories|All People",2792,"Paul Tillich",,1886
"All Categories|All People|Major Categories|Major People",2793,Pelagius,,410
"All Categories|All People|Major Categories|Major People",2798,"Philipp Jakob Spener",,1635
"All Categories|All People",2799,"Philipp Melanchthon",,1497
"All Categories|All People|Major Categories|Major People",2800,"Philo of Alexandria",,-20
"All Categories|All People",2801,"Phoebe Palmer",,1807
"All Categories|All People|All Religious Events|Major Categories",2803,"Pius IX",,1792
"All Categories|All People|Major Categories|Major People",2804,Plato,,-427
"All Categories|All People",2805,Plotinus,,205
"All Categories|All People",2806,"Richard Baxter",,1615
"All Categories|All People",2807,"Richard Hooker",,1554
"All Categories|All People",2808,"Rudolf Bultmann",,1884
"All Categories|All People|Major Categories|Major People",2809,"Søren Kierkegaard",,1813
"All Categories|All People",2810,"Samuel Hopkins",,1721
"All Categories|All People",2811,"Sebastian Franck",,1499
"All Categories|All People",2812,Socrates,"470–399 B.C.

Needs description text. Currently the word limit for tool-tips is set to 50 words.  Do we want to adjust the tool-tip length? This description prior to the first Q is currently 35 words.

Qcjm: in timeline, testing tool tips, charlene added for testing
",-470
"All Categories|All People",2815,"Solomon Stoddard",,1643
"All Categories|All People|Major Categories|Major People",2816,"Teresa of Avila",,1515
"All Categories|All People|Major Categories|Major People",2817,Tertullian,,160
"All Categories|All People|Major Categories|Major People",2818,"Thomas Aquinas","
",1225
"All Categories|All People",2820,"Thomas Paine",,1737
"All Categories|All People|Major Categories|Major People",2821,"Ulrich Zwingli",,1484
"All Categories|All People",2822,Valentinus,,100
"All Categories|All People",2823,Voltaire,,1694
"All Categories|All Religious Events|Major Categories|Major Religious Events",2826,"Council of Arles",,314
"All Categories|All Religious Events|Major Categories|Major Religious Events",2828,"Babylonian Captivity  II",,1309
"All Categories|All Religious Events",2829,"Council of Basle",,1437
"All Categories|All Religious Events|Major Categories|Major Religious Events",2831,"Council of Chalcedon",,451
"All Categories|All Ideas|All Religious Events",2834,"Congregatio de Auxiliis",,1598
"All Categories|All Religious Events|Major Categories|Major Religious Events",2838,Counter-Reformation,,1563
"All Categories|All Religious Events|Major Categories|Major Religious Events",2839,"Donatism &amp; Donitist",,311
"All Categories|All Religious Events|Major Categories|Major Religious Events",2840,"Synod of Dordt",,1619
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",2844,"Elizabethan Settlement",,1559
"All Categories|All Religious Events|Major Categories|Major Religious Events",2845,"Formula of Concord",,1580
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",2847,"Great Schism",,1378
"All Categories|All Religious Events|Major Categories|Major Religious Events",2852,"Peace of Westphalia",,1648
"All Categories|All Religious Events|Major Categories|Major Religious Events",2853,"royal supremacy",,1534
"All Categories|All Religious Events|Major Categories|Major Religious Events",2855,"Scopes “Monkey Trial”",,1925
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",2859,"Vatican I",,1869
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",2860,"Vatican II",,1962
"All Categories|All Religious Events|Major Categories|Major Religious Events",2865,"Babylonian Captivity I",,-587
"All Categories|All Religious Events|Major Categories|Major Religious Events",2866,"Babylonian Captivity III",,1520
"All Categories|All Religious Events|Major Categories|Major Religious Events",2868,"Medieval Inquisition",,1232
"All Categories|All Religious Events|Major Categories|Major Religious Events",2946,"Paul's Epistles",,50
"All Categories|All Religious Events|Major Categories|Major Religious Events",2947,"Gospel of Mark",,65
"All Categories|All Religious Events|Major Categories|Major Religious Events",2948,"Jerusalem Temple Destroyed",,70
"All Categories|All Religious Events|Major Categories|Major Religious Events",2949,"Gospels of Matthew, Luke & John",,75
"All Categories|All Religious Events",2951,"Valentinus rejected",,145
"All Categories|All Religious Events|Major Categories|Major Religious Events",2952,"Justin Martyr's 1st Apology",,150
"All Categories|All Religious Events|Major Categories|Major Religious Events",2953,"Justin Martyr’s 2nd Apology","

",165
"All Categories|All Religious Events|Major Categories|Major Religious Events",2958,"Augustine begins writing",,385
"All Categories|All Religious Events|Major Categories|Major Religious Events",2959,"Council of Ephesus condemns Nestorianism",,431
"All Categories|All Religious Events|Major Categories|Major Religious Events",2962,"Second Council of Constantinople &amp; Unity of Christ’s person",,553
"All Categories|All Religious Events|Major Categories|Major Religious Events",2963,"Third Council of Constantinople duel nature of Christ",,681
"All Categories|All Religious Events|Major Categories|Major Religious Events",2964,"Second Council of Nicaea & Veneration of icons",,787
"All Categories|All Religious Events|Major Categories|Major Religious Events",2965,"Great Divorce Eastern &amp; Western Church",,1054
"All Categories|All Religious Events",2966,"Gregory VII & Henry IV",,1076
"All Categories|All Religious Events|Major Categories|Major Religious Events",2967,"Anselm becomes the archbishop of Canterbury",,1093
"All Categories|All Religious Events|Major Categories|Major Religious Events",2968,"England a fief of the pope",,1213
"All Categories|All Religious Events|Major Categories|Major Religious Events",2969,"4th Lateran council & the Sacraments",,1215
"All Categories|All Religious Events|Major Categories|Major Religious Events",2970,"Thomas Aquinas begins teaching",,1256
"All Categories|All Religious Events|Major Categories|Major Religious Events",2971,"Bull Unam Sanctam",,1302
"All Categories|All Religious Events|Major Categories|Major Religious Events",2972,"Avignon Papacy",,1309
