id,Title,Content
266,Anabaptists,"Derived from a Greek word meaning “rebaptizers,” due to adherents’ insistence that infant baptism was not valid and that one must make a informed voluntary commitment as part of a baptismal covenant in order for the baptism to be effective. The movement began as a branch of Reformed Protestantism in Switzerland and grew primarily in German speaking areas. They viewed themselves as a Holy Community apart from the world which contributed to their classification as the radical or left wing arm of reformation.  This minority was heavily persecuted by Catholics, Lutherans and Calvinists.  Mennonites, Amish, and Hutterites were important Anabaptists groups.  Anabaptist should not be confused with Baptist who emerged a hundred years later in England.   
"
268,Anathema,"a formal curse imposed by a council of the Church or a pope generally associated with the excommunication of an individual for teaching heresy. "
270,anfechtung,"German word for “assault” and is the word Luther used in translating the Latin term <em>tentatio</em>, meaning “temptation.”  Luther viewed temptations as an assault by the devil on a person’s soul in an attempt to undermine their faith in Christ.  "
272,Anglicanism,"Derived from the Latin term anglicana ecclesia, meaning “English Church” and refers to the worldwide communion of churches that have grown out of the Protestant Church of England established at the time of Henry VIII.  This association is led by the archbishop of Canterbury.   In the United States the Episcopalian church is the most common arm of this religion."
274,anhypostasis,"A Greek term that means “without hypostasis,” or without essence.  The Orthodox tradition used this term to the humanity of Jesus because he was the divine Word and not really a person.  This was an issue because orthodox theology does not confess that Christ is two persons, one human the other divine, which they held would be the case if Jesus was a person."
276,annates,"A tax imposed by the pope on a portion of the first year’s income derived from a benefice (Church position with rights to property and income) when transferred to a new priest. 
"
278,anthropology,"In theology, this term refers to theories regarding human nature and  the meaning of human existence.  Usage of this term in theology is not to be confused with the discipline of cultural anthropology as taught in universities."
280,Antichrist,"A term in the Bibile used for one or more  individuals who would play a significant role opposing Christ in the last days.  Luther used this term to describe a broad institutional principles and popes in general as opposed to one person or one pope.  His classification of the papacy as the Antichrist was instrumental in his decision to break with Rome.  Contemporary Protestant evangelicals generally utilize this term to refer to one key antagonist that will arise shortly before Christ’s second coming."
282,anticlericalism,"Broad discontent with members of the clergy, particularly leading up to and during the Reformation due to clerical privileges and abuses.  "
284,antinomianism,"Broad discontent with members of the clergy, particularly leading up to and during the Reformation due to clerical privileges and abuses.  
"
286,Antioch,"A large and important city in Syria and the meeting point of the East and West.
"
288,"Antiochian school of theology","A theological school in Antioch that favored a literal reading of scripture in contrast to a school in Alexandria that emphasized an allegorical approach to understanding scripture.  The Antioch school emphasized a duel nature of Jesus while the Alexandria school stressed a union between the divine and human natures of Jesus. 
"
290,apocalyptic,"from the Greek <em>apokalypsis</em>, or “uncovering” that generally applies to events that take place at the end of the world, especially as described in the Book of Revelation also known as the Apocalypse of St. John that foretells of violent supernatural events in the last days.  Belief in an imminent apocalyptic return of Christ often played a key role in the teachings of various Protestant groups during the Reformation.
"
292,"Apocryphal literature","comes from a Greek term meaning secret or hidden.  In general it refers to all non-canonical writings and more specifically to a group of books that were regarded as sacred by the Jewish people but were not included in the Bible.
"
294,Apollinarianism,"A belief espoused by Apollinarius, a 4th century Alexandrian theologian, that in the Incarnation of Jesus the divine Word united with a human physical body but not a rational human soul so that Christ  was not fully human.  This teaching was ruled heretical.  
"
296,apology,"A writing that  that defends one’s beliefs against critics."
298,Apologists,"Christian writers in the 2nd century whose writings defended Christianity.  "
300,"Apolgetic Fathers","<em>See Apologists</em>.  The most important apologists were Justin Martyr, Tertullian, Irenaeus, and Origen., however some of the teachings of Tertullian and Origen were subsequently ruled heretical.
"
302,apophatic,"A term derived from the Greek word meaning “negation” and is a term used in Eastern Orthodox theology to describe God only indirectly by referring to what God is not.  This approach is referred to as via <em>negativa</em> (Latin for “way of negation”) in Western theology.  
"
304,Apostasy,"is the abandonment of religious beliefs and teachings.  "
306,Apostles,"from a Greek word meaning “messenger.”  This term often refers to the original twelve disciples of Jesus that he selected , ordained and sent out to teach all nations and comprised of the ruling body of the early Church.  Other individuals were selected to become apostles to fill the openings of apostles who died, including Matthias, Paul, James the brother of Jesus, and Barnabas.  
"
308,"Apostle’s Creed","The earliest baptismal creed that we are aware of that was used in the Western Church .
"
310,"apostolic succession","The position that Jesus gave his original twelve apostles authority and they in turn passed this authority on to their successors, who in turn handed it down in succession through the bishops of the Church until today.  No one has God’s authority unless they have been properly ordained by someone who received their authority through this chain back to the original twelve apostles.  This assertion is important to Eastern Orthodox, Roman Catholics, and Anglicans as opposed to most Protestants who believe in a priesthood of all believers independent of priesthood ordination.    "
312,archon,"A Greek term for “prince” or “ruler,” that some Gnostics used for spirits in the visible heavens who prevent human souls from escaping this material world. The head of the archons is the Jewish God who created this physical world and vainly believes he is the only god due to his arrogance and ignorance.  
"
314,"argument from design","An empirical argument for the existence of God based on the observation that the intricate natural world from the vast universe down to the complex functions of cells is evidence of an intelligent benevolent designer.  "
316,"Arian Controversy","<em>See</em> Arianism."
318,Arianism,"An extension of Logos subordinational theology advocated by Arius, a 4th century priest in Alexandrian, which asserted that Christ was simply a creation of God the Father and that “there was once when he [Chirst] was not.” This created a major controversy in the early Church culminating in this doctrine being condemned by the Council of Nicaea.  Prior to the Council of Nicaea Arianism and semi-Arianism was the majority view of the bishops and continued to be the predominate belief of Christians outside of the territory ruled by the Roman Empire, particularly in Germanic areas, until the Middle Ages.
"
320,"Council of Arles","The first Council of Arles was held in 314 to deal with the Donatist controversy regarding the right of local churches to reject bishops due to alleged unworthiness.
"
322,Arminianism,"A Protestant theology that places a greater role on free will in individual salvation than Luthernism and Calvinism.  Its name is derived from its advocate, Jacobus Arminius, who taught that God desired to save all mankind, as opposed to Calvin’s teaching of election and limited atonement, and that a person’s choice to accept God’s grace ultimately determines whether or not one is saved.  Arminianism was condemned at the Synod of Dordt in 1619, but continued to play a major role in Protestant theology particularly among Anglicans, Baptist and was embraced by John Wesley and the Methodist tradition he founded.  This in turn has led to its strong influence on American evangelicalism. 
"
324,Ascension,"The doctrine that Jesus ascended up to heaven in his exalted state after his resurrection and is seated on the right hand of God the Father."
326,Asceticism,"A religious practice of self-denial and discipline in order to obtain an elevated state of spirituality.
"
328,Asia,"refers to the Roman providences in what is now Turkey.
"
330,"Assumption of the Blessed Virgin","A Roman Catholic teaching that the Virgin Mary was taken bodily straight up to heaven at the end of her mortal life."
332,Assyria,"was an ancient Mesopotamian empire that ruled much of the near east and was conquered by the Babylonians around 609 B.C.  
"
334,"Athanasian Party, Athanasians, Athanasianism","(<em>See</em> Nicene Creed)
"
336,atheist,"A person who denies the existence of all deity."
338,atonement,"A term referring to how Christ’s suffering and death on the cross expiates sin and reconciles humans with God.  There are various theories regarding how the atonement of Christ functions, including, ransom theory,  substitutional or satisfaction theory, the moral influence theory, the recaptitulation theory, and the eternal covenant theory. The original Hebrew word, <em>kaphar</em>, that is used 90% of the time for the word <em>atonement</em> in the Old Testament means “to cover.”
"
340,autonomy,"A term that literally means to give yourself the law.  This idea was central to Kant’s moral theory that reason gives itself the moral law."
342,attrition,"The concept that the fear of God and his judgment was a sufficient substitute for contrition in the sacrament of Penance and was advocated by some late medieval theologians.
"
344,Augustinianism,"is the foundation of Western theology, both Catholic and Protestant, and is derived from the writings of Augustine of Hippo in the late 4th and early 5th centuries.  This theology introduced the concept of original sin and emphasized the role of grace, including the doctrine of predestination.  
"
346,Augsburg,"A southern German city that became the site for several imperial diets, including (1) Luther’s meeting with the papal legate, Cardinal Cajetan, in 1518 regarding the indulgences controversy,; (2), the presentation of the <em>Augsburg Confession</em> to the emperor in 1530 by Lutheran princes; (3), the emperor imposes the Augsburg Interim on the Lutheran princes in 1548; and (4), the Peace of Augsburg is reached in 1555, which maintained the status quo for various territories in Germany to remained Lutheran or, Catholic.
"
349,"Augsburg Confession","The founding document of the Lutheran church, composed by Philip Melanchthon and presented by the Lutheran princes to the emperor Charles V at the Diet of Augsburg in 1530.
"
351,"Augsburg Interim","Temporary religious settlement imposed on the Lutheran princes in Germany, who were defeated by Emperor Charles V in 1548; the Catholic church was restored, but Protestant practices, such as married clergy, were to be tolerated for the time being until the Council of Trent decided disputed issues.
"
353,Augustinian,"theologies founded on Augustine’s theology which formed the foundation for Western Christian theology for Catholics, Lutherians  and Calvinists.  "
355,Avignon,"the city in France where the pope resided from 1309 to 1377, which timeframe is referred to as the Babylonian Captivity of the papacy.
"
357,"Azusa Street","was the location in Los Angeles, California, where a revival began in 1906 and lasted for several years giving rise to Pentecostalism.
"
359,"Babylonian Captivity","This phrase is used to describe three events: 1) the captivity of ancient Israel and exile to Babylon as related in the Old Testament; 2) the years when the pope resided in Avignon, France instead of Rome (1309-1376; and 3) used by Luther to to his assertion that the Church was in spiritual captivity under the papacy.  
"
361,"banning and shunning","A disciplinary practice utilized by Anabaptists of excluding a baptized member from fellowship in their community due to some moral deficiency or  infraction of the communal order.
"
365,baptism,"From a Greek word meaning “to immerse;” and is an initiatory ritual washing whereby one becomes a member of the Christian community.  It involves various symbolic meanings including, cleansing, the death and resurrection of Christ, and a sinners death and spiritual rebirth.  Catholics, Lutherans, Anglicans and some other Protestants practice infant baptism while other Protestants insist that this sacrament or ordinance should only be administered to individuals who can make a self-conscious commitment to become a Christian.
"
367,Baptists,"This tradition grew out of the English Puritan Separatist movement in the 17th century and later spread to America where it found strong support. due to its strong emphasize on independent congregational self-governance and a commitment to adult baptism to mark a regenerate church membership. Not to be confused with Anabaptists. "
369,"Bar or Bat Mitzvah","Hebrew terms meaning a son or a daughter of the Commandment and is a coming-of-age ceremony whereby Jewish boys (at age 13) and Reform and Conservative Jewish girls (at age 12) assume responsibilities as adults to keep the Commandments.
"
371,"basic beliefs","are so basic of a belief that they form the foundation of the structure of all other related beliefs so that they do not require evidence from other beliefs to establish their truth.  
"
373,"Council of Basle","a council held in Basle in 1437 near the end of the Great Schism that highlighted the power struggle between popes and counsels.  It  involved a dispute where the majority of the bishops attending the council rejected Pope Eugene IV’s order to dissolve their council and instead continued deliberating leading to the decision to depose Eugene IV for heresy and elect a new pope or anti-pope depending on one’s perspective."
375,Basilica,"Originally a rectangular Roman building used as a court of law, but subsequently used to denote certain large churches of the Catholic and Orthodox religions.
"
377,"Book of Job","A book in the Old Testament that addressed the issue of why good people suffer.
"
379,"beatific vision","A Catholic concept advocated by Augustine related to seeing the essence of God with your mind’s eye, which is the ultimate goal of human existence.  The term “beatific” refers to the bliss or ultimate happiness that one realizes in comprehending God. 
"
381,beatitude,"comes from the Latin term for happiness.  This term is applied to various statements Jesus made in the Sermon on the Mount.  It is also used in Catholic theology for the ultimate fulfillment of human beings in unity with God, and is equivalent to the biblical term of “eternal life.”
"
383,benefice,"is an ecclesiastical office, typically a bishopric, which included a source of income, from lands, tithes, or endowments.  "
385,bishop,"A person holding the ecclesiastical office that exerciseds authority over the laity and priests in a geographical area called a “diocese” where the bishop’s “see,” or seat, is located, which is referred to as his bishopric. Also see episcopate.
"
387,bishopric,"<em>See</em> bishop.
"
389,"Book of Common Prayer","The official prayer book of the Church of England and is the basis for their common beliefs.  It was first published under King Edward VI in 1549, with various revisions through the centuries.
"
392,"Book of Genesis","is the first book of the Bible and contains the story of the creation, the fall of Adam and Eve, Noah and the flood, and of the  patriarchs Abraham, Isaac and Jacob (Israel).
"
394,"bottom of the soul","is a phrase used by the German mystics, <em>Grund der Seele</em>, to describe the deepest part of one’s self that Luther refers to as our conscience when we stand before the judgment seat of God.  "
396,bull,"Comes from the Latin word <em>bulla</em> for “bubble” or “boss” and was used official papal documents that published the pope’s decision regarding some issue such as Pope Leo X ‘s condemnation of Martin Luther’s teachings as heresy.  This word was used because of the distinctive manner in which the document is sealed or embossed. 
"
424,caliph,"The political, military, and religious leader of the Islamic community following the death of Muhammad in A.D. 632 . Sunni Muslims maintained that the most righteous man in the community should be the caliph while the Shi’ites believed the closest male heir of the prophet Muhammad should lead the Muslim people. "
426,Calvinism,"The main branch of the Reformed Protestant tradition that took its name from its founder, John Calvin.  It is characterized by a strong belief in predestination, anti- and austere lifestyle.  It began in Geneva Switzerland and spread though areas of France, the Low Countries, Germany, England and Scotland.  It became the most dynamic branch of Protestantism in the later half of the 16th century."
428,Calvinism,
429,canon,"A Greek word for “rule” or “measuring rod”,and generally refers to those books which were authorized to be read in the early Church and which became the Bible by which all other writings and teaching are to be judged or measured to determine orthodoxy."
431,canonization,"An official papal process in the Catholic Church where a righteous person is designated a saint who has special favor with God allowing Christians to petition their assistance as an advocate with God."
433,"canon law","The written decisions of councils, papal edits and legislation in the Catholic Church that form an elaborate code of rules and law.  Protestants completely reject the authority of canon law."
435,Canossa,"is a castle in the mountains of Italy where Pope Gregory VII forced Emperor Henry IV to walk barefoot in the snow as penance for defying in 1077.  Its name denotes a high-water-mark of papal authority."
437,Cappadocians,"This term refers to the 4th century Christian theologians from Cappadocia in modern-day Turkey who had profound impact on Christian doctrine and ascetic practice including the doctrine of the Trinity and the Council of Constantinople in A.D. 381."
439,cardinal,"Originally derived from a Latin word meaning a “hinge” but soon began to denote “superior” after the term was used to honor the deacons of the from the seven regions of Rome in the 6th century.  The honored title spread to bishops in major cities and churches in Rome.  In 1059 the cardinals were given the exclusive right to elect new popes."
442,catechesis,"a Greek term meaning “instruction” from which the modern word “catechism” is derived.  <em>See</em> catechumens.
"
444,catechumens,"is a term referring to individuals seeking baptism in the ancient church who first engaged in a long period of instruction in preparation for their baptism, which usually occurred only twice a year at Easter and on the Day of Pentecost.  By the 4th Century the Church officially recognized these individuals as semi-members of the Christian community.  Many persons delayed baptism for years while they stayed in this quasi-membership status."
446,cathedra,"is a Latin word derived from the Greek word for “chair,” and is used to refer to the seat of a bishop’s authority.  Consequently, the home church building where a bishop presides is call a cathedral.  Pursuant to Vatican I in 1870, when a pope speaks ex cathedra (“from the chair” of Peter) his decrees are infallible."
448,catholic,"derived from the Greek word meaning “universal,” and was originally used to identify orthodox beliefs and practices that were universally accepted by all legitimate Christian churches.  This term is often used to identify the Roman Catholic Church, even though many Protestants and Eastern Orthodox churches claim that they are part of the universal “catholic” church.  "
450,"Catholic reform","is a term used to describe the concerted effort in late medieval and early modern Catholicism to reform its practices, institutions and devotion.   "
452,"Council of Chalcedon","a council held in Chalcedon in A.D. 451 to deal with the Nestorian controversy regarding the nature and incarnation of Christ.  Some eastern churches objected to the conduct of the council and claim that it was primarily a power struggle between the East and West. The heavy handed tactics utilized at this council may have contributed to the Great Schism between the Eastern and Western Church."
454,character,"comes from a Latin word that basically means an “indelible mark” like a tattoo. Under Roman Catholic theology, this word is a term of art that refers to an indelible mark made on the soul by the sacraments of baptism, confirmation and Holy Orders (priesthood).
"
456,"Charismatic movement","earlier known as “neo Pentecostalism” in the late 20th century and is a widespread growing movement among Catholic and mainline Protestant churches in the west that has sprung from Pentecostalism even though it is not directly related to it.  Its name comes from the Greek word “charisma” that was translated as “gifts” in the New Testament in reference to speaking in tongues, healings, and other manifestations of the Spirit of God.  Worship services are lively gatherings similar to those found in Pentecostalism."
458,charity,"comes from the Latin word “caritus” that was a translation of the Greek term  “agape.”, which refers to a pure love of god and neighbor.  It should not be confused with the modern usage of this term which is equivalent to “alms giving” consisting of giving money or material support to the poor."
460,Christ,"Derived from a Greek term meaning anointed and is equivalent to the word “messiah” from Hebrew roots.  The anointing references the act of installing a new king similar to the modern custom of crowning a king, so the term “Christ” refers to Jesus’ divine status as Lord of Lord and King of Kings.  "
462,Christmas,"A Christian holiday celebrating the birth of Jesus in Bethlehem. The first recorded celebration of Easter occurred in Rome in A.D. 336.  Why the date of the winter solstice was chosen is not clear but may have been based on an ancient belief regarding the day of Jesus’ birth, for symbolic purposes or to more easily integrate Christianity with the Roman pagan religion."
464,Christology,"is another term used to identify Christian theology regarding the Incarnation and nature of Christ."
466,Church,"a term translated from the Greek word “Ecclesia” which means an assembly called together and is sometime translated as a congregation.  A church is an organized group of believers who adhere to a set of core beliefs.  The Church in the first centuries of Christianity generally refers to the group of separate churches that were in common communion with each other and universally (catholic) agreed to core beliefs and practices. "
468,"church fathers","is a broad term that refers to Christian theologians up to the 6th century that later theologians relied on to determine correct Christian doctrine.  This term includes the apostolic fathers who likely had direct contact with one or more of the apostles, the apologists of the 2nd and 3rd centuries, and later important theologians and doctors of the Church such as Augustine, Jerome, and Ambrose in the West and the Cappadocians in the East.  The Christian humanist of the 15th and 16th centuries were particularly interested in studying the writings of these church fathers in order to reform the Catholic Church through education and a return to original understanding of doctrine.  "
470,"City of God, the","is a book written by Augustine of Hippo in response to allegations that Christianity caused the fall of Rome, and is a foundational exposition of Western religious thought regarding many important theological issues."
472,clarity,"is a term derived from the Latin word for “bright” that refers to a glorified resurrected bodies ability to shine with glorious light emanating from their souls.  See also agility, impassibility, and subtlety for other qualities of resurrected beings.  See perspicuity for clarity of scripture.
"
474,clergy,"consists of the priest, ministers and pastors of Christian churches.  In the medieval church this term referred to both regular priest who were monks subject to a rule (regula) of a monastic order and secular priest who were not monks but ministered among the populace (secular) at the local church.  All bishops and other high Church officials are priests, but not all monks were ordained to the priesthood.  The Catholic clergy are ordained through the sacrament of holy orders whereby their soul is marked by a special spiritual power that enables them to change the bread and wine of the Eucharist into the literal flesh and blood of Christ.  Protestant clergy are not regarded as having any extra powers than the laity and are often referred to as ministers which means servant or pastors which means shepherds."
476,"close communion","is a practice of Baptist following the Landmark tradition that excludes other Christians and even Baptists from other congregations from participation in the ordinance of the Lord’s Supper.  "
478,Cluny,"refers to an affluent and influential Benedictine Abby in the Eastern French town of Cluny."
480,Codex,"is manuscript of ancient text assembled in a bound book format and is sometimes used to refer to fragments of these manuscripts."
482,"College of Cardinals","The assembly of cardinals who elect a new pope.  <em>See</em> cardinals."
484,Comforter,"Refers to the Holy Spirit and its role to provide comfort to believers as they struggle with their challenges in life.
"
486,"Communal Reformation","The early period of the German Reformation through the end of the Peasants’ War.  This was a popular movement in southern an central German with broad support in both the towns and rural areas.
"
491,"communicatio idiomatum","A Latin term for “the sharing of characteristics or properties,” which refers to a doctrine introduced by Cyril of Alexandria, that through the incarnation of Christ, the divine nature of God is shared with Jesus’ human nature and his human characteristics are shared with God.  Luther based his doctrine of ubiquity, that the man Jesus is everywhere, on Cyril’s earlier doctrine."
493,communion,"is derived from the Latin term communio, which basically means to have in common.  Words such as “partaking,”  “sharing,” or “fellowship” are often translations of this root term.  Partaking of the Eucharist is often referred to as the sacrament of “Communion.”  This term is also used to describe a close association of churches such as the Anglican communion.  "
495,compatibilism,"The philosophical term use to describe the concept that free will and determinism are compatible.  Augustine taught that even though God determines all events that occur he still does not take away individual free will."
497,conciliarism,"is the claim that the final authority of the Church rests with ecumenical church councils instead of with the Papacy.  Conciliarism reached its high point during the Great Schism in the early fifteenth century and still exerted an strong influence during the Reformation period.  "
499,Concord,"refers to The Formula of Concord  which is a Luthern statement of faith written in 1580  that settled various doctrinal disputes within the Lutheran church. "
501,confession,"this  word has several theological uses.  1) It refers to the act of confessing one’s sins, and particularly the confession of sins to a priest in the sacrament of Penance, that is often called “Confession;” 2) reciting a creed or “confessing” one’s faith; and 3) the written statement of beliefs of a particular religion such as The Augsburg Confession of Lutheranism."
503,confessionalization,"was the process during the Reformation era where both ecclesiastical and secular authorities worked together to create a well-informed and obedient populace who adhered to a particular confessional belief whether it was Roman Catholic, Lutheran, or Calvinist.  "
505,confessor,"is the priest who listens to the penitent’s confessions during the sacrament of Penance.
"
507,confirmation,"is a term derived from the Latin word for “strengthening,” and is one of the seven sacraments of Roman Catholic Church and of the Eastern Orthodox Church.  In Catholicism and Orthodoxy this sacrament involves anointing with oil and the laying on of hands to bestow the Holy Spirit upon a previously baptized member and to strengthen them in faith.  In Roman Catholicism this sacrament can only be performed by a bishop. Usually occurs when a young person enters early adulthood. Other traditions, such as Anglicanism and Lutheranism, also engage in this practice but it is regarded as a sacrament. 
"
509,conformity,"See nonconformist."
511,confraternities,"Important and very popular lay mutual aid societies in the late medieval and early modern Catholic Europe that were organized for the spiritual and social support of its members. 
"
513,"Congregatio de Auxiliis","was a series of formal debates held in Rome between 1598–1607 regarding the nature and extent of divine grace in an effort to resolve a bitter controversy between Dominicans who advocated the Augustinian doctrine of grace as further developed by Thomas Aquinas, and Jesuits, who advocated Molinism.  The pope finally declared both viewpoints legitimate and prohibited both sides from calling the other side heretics, and forbade further debate on the subject.
"
515,congregationalism,"<em>See</em> polity."
518,conscience,"Derived from Latin and literally means “shared knowledge” such as an accomplice to a crime.  Modern usage of this term developed out of the practice of private confession in Catholicism in the late Middle Ages.  The concept of conscience was important to Luther who taught that a free conscience comes from being certain of God’s approval through faith alone, a bound Conscience is one that feels a need to perform works in a vain effort to please God, and a terrified conscience is one who displeases God through sin."
520,consistory,"Is the Calvinist institution that governed the of moral and religious discipline of the community and generally consisted of the local pastors and elders. 
"
522,Constance,"is the Swiss city where a council was held between 1414 and 1418 that finally ended the Great Schism.  The council deposed two of the three popes and accepted the abdication of a third and appointed a new pope (Martin V).  The council also condemned the writings of the early reformers John Wyclif of England and of John Hus of Bohemia who was burned as a heretic.  A hundred years later Luther shocked the world when he admitted that he was a Hussite.
"
524,Constantinople,"Was established in A.D. 324 by Emperor Constantine as the Eastern capital of the Roman Empire.  The city was built over the much smaller ancient city of Byzantium from which the Byzantium empire is named.  After the fall of Rome in 476, Constantinople became the largest and wealthiest city in Europe.  It rivaled Rome in importance in developing Christian theology and practice until its fall in 1453 to the Ottomans.
"
526,"Council of Constantinople","The First Council of Constantinople convened in AD 381 is one of the most important ecumenical councils of Christianity.  It dealt with issues of the Trinity, particularly issues involving the Holy Spirit."
528,"contextual theology","is closely related to modern liberation theology and pays careful attention to the context and social historical setting in which issues are addressed."
530,contrition,"usually refers to one of the four parts of the sacrament of Penance in the Roman Catholic Church that consists of hating one’s sins.  Luther rejected this requirement because he felt that it only caused greater uncertainty and anxiety in believers. 
"
532,conventicles,"were small secret, underground meetings during the Reformation era of like-minded Christians  to worship, study scriptures and provide mutual encouragement and support. 
"
537,conversion,"This term is derived from the Latin word for “turning,” and is a theological term that refers to one turning his will from evil to good and is generally used to denote one becoming a Christian and/or joining a particular church."
539,Coptic,"A branch of Christianity that was excluded from the Catholic and Orthodox traditions in the Council of Chalcedon in A.D. 451 that dealt with the incarnation of Christ.  The Church in Alexandria, Egypt, that based on credible legend was founded by the Apostle Mark, maintained that Christ has one nature derived by his two natures, divine and human, while the Council held that Christ is one person with two natures, divine and human.
"
541,corporeal,"is derived from the Latin word corpus, meaning “body” and is often used to refer to anything physical as well as the human body. (<em>See</em> materialism.)"
543,"correlational theology","is an approach to theology that deals with modern issues with answers from the religious traditions of the past.  "
545,"corruption of the Church","is a problem that has periodically plagued the Church throughout the centuries, but was a significant factor leading up to the Reformation.  This Corruption involved nepotism, simony (selling of church offices), pluralism (holding multiple priestly offices), absenteeism (ignoring priestly duties); lack of celibacy, and simple greed.
"
547,cosmos,"the idea that the universe is one harmonious and orderly system."
549,"Councils of the Church","(<em>See</em> ecumenical.)"
552,Counter-Reformation,"The efforts of the Catholic Church to counter-act, denounce and undo the changes brought about by the Protestant Reformation.   "
556,"covenant theology","is a major component of Reformed theology that is based on Calvin’s assertion that God entered into a covenant of works with Adam but after he fell he extended a covenant of grace to the elect with is the same covenant found in the Old Testament as in the New Testament, but only differ through means of administration. "
558,"created grace","An Augustinian concept that certain forms of grace are an inherent quality or habit of the soul, as opposed to uncreated grace, which is grace obtained solely through the action of the Holy Spirit. (See sanctifying grace.)"
560,creature,"refers to everything except God who is the Creator who created all things."
